x,y
-1.67E+02,-2.87E+00
-1.63E+02,1.50E+01
-1.54E+02,3.92E+01
-1.39E+02,8.26E+01
-1.28E+02,1.02E+02
-1.09E+02,1.00E+02
-9.47E+01,9.73E+01
-7.82E+01,6.86E+01
-7.50E+01,6.16E+01
-7.11E+01,5.52E+01
-5.90E+01,2.97E+01
-4.31E+01,9.57E-01
-3.16E+01,-1.56E+01
-1.37E+01,-2.39E+01
-9.89E+00,-2.20E+01
7.97E+00,-3.51E+00
1.63E+01,6.70E+00
1.75E+01,3.29E+01
1.88E+01,5.65E+01
1.63E+01,6.92E+01
1.63E+01,7.75E+01
1.31E+01,8.71E+01
-3.51E+00,1.08E+02
-1.05E+01,1.18E+02
-3.22E+01,1.35E+02
-4.63E+01,1.44E+02
-6.79E+01,1.56E+02
,1.56E+02
